,pmid_pmcid,publisher,journal_title,article_title,cost_with_vat
1039,"PMC3678977
",Nature,Journal of investigative dermatology,Multiple Congenital Melanocytic Naevi and Neurocutaneous Melanosis are Caused by Post-Zygotic Mutations in Codon 61 of NRAS.,2520.0
1040,PMC3574974,Nature,Mucosal immunology,CTLA-4 promotes Foxp3 induction and regulatory T cell accumulation in the intestinal lamina propria,2940.0
1041,PMC3709474 ,Nature,Nature communications,Primary Sensory Cortices Contain Distinguishable Spatial Patterns of Activity for Each Sense,1890.0
1042,"PMC3644070

",Nature,Nature communications,A role for piezo2 in EPAC1 dependent mechanical allodynia,2562.0
1043,"PMC3562455

",Nature,Nature communications,Signaling properties of inorganic polyphosphate in the mammalian brain,3642.0
1044,"PMC3731653

",Nature,Nature communications,Variability in visual cortex size reflects tradeoff between local orientation sensitivity and global orientation modulation,3780.0
1045,Pub July 2013,Nature,Nature communications,Meta-analysis of IDH-mutant cancers identifies EBF1 as an interaction partner for TET2,3780.0
1046,PMC3709478,Nature,Nature communications,Picornavirus uncoating intermediate captured in atomic detail.,1852.505
1047,"PMC3535331
",Nature,Nature communications,Factors determining the occurrence of submicroscopic malaria infections and their relevance for control,910.8
1048,PMC3480808,Nature,Scientific reports,Estimating the proportion of variation in susceptibility to multiple sclerosis captured by common SNPs.,1068.0
1049,"PMC3605607

",Nature,Scientific reports,Homogeneous Antibody Fragment Conjugation By Disulfide Bridging Introduces 'Spinostics',1068.0
1050,PMC3388244,Nature ,Cell death and disease,HtrA2 deficiency causes mitochondrial uncoupling through the F1F0-ATP synthase and consequent ATP depletion,2400.0
1051,23999103,Nature PG,Embo reports,Chemerin15 inhibits neutrophil-mediated vascular inflammation and myocardial ischemia-reperfusion injury through ChenR23,3120.0
1052,PMC3476715 (Available 01/11/12),Nature Publishing,European journal of human genetics,CNVs leading to fusion-transcripts in individuals with autism spectrum disorder,2400.0
1053,PMC3505832,Nature Publishing,Leukemia,Quantification of subclonal distributions of recurrent genomic aberrations in paired pre-treatment and relapse samples from patients with B-cell chronic lymphocytic leukemia.,3000.0
1054,24108241,Nature Publishing,Nature communications,AMA1 of Apicomplexa mediates parasite attachment but is dispensable for host cell invasion,3498.0
1055,PMC3378494,Nature Publishing,Nature neuroscience,Mechanisms underlying cortical activity during value-guided choice,1272.86
1056,23328632 PMC3619236,Nature Publishing Group,Cell death differentiation,SCAR/WAVE-mediated processing of engulfed apoptotic corpses is essential for effective macrophage migration in Drosophila.,3000.0
1057,23511972 PMC3630358 ,Nature Publishing Group,Embo,Structure of a bacterial type IV secretion core complex at subnanometer resolution,3120.0
1058,3671254,Nature Publishing Group,Embo journal,SENP3-mediated DeSUMOylation of dynamin-related protein 1 Promotes Cell Death Following Ischemia,3120.0
1059, PMC3791366 ,Nature Publishing Group,Embo journal,Identification of the missing pluripotency mediator downstream of leukaemia inhibitory factor,3120.0
1060,PMC3642681,Nature Publishing Group,Embo journal,"Distinct roles for Sir2 and RNAi in centromeric heterochromatin nucleation, spreading and maintenance",3120.0
1061,PMCID: PMC3545308,Nature Publishing Group,Embo journal,Dissecting the mechanisms of Notch induced hyperplasia,3120.0
1062,PMCID: PMC3616287,Nature Publishing Group,Embo journal,"PDK1 regulates VDJ recombination, cell-cycle exit and survival during B-cell development",3120.0
1063,PMCID: PMC3770947,Nature Publishing Group,Embo journal,A cyclic GMP-dependent signalling pathway regulates bacterial phytopathogenesis.,3120.0
1064,PMID: 23670199  PMC3701237 ,Nature Publishing Group,Embo reports,Prdm14 promotes germline fate and naïve pluripotency by7 repressing FGF signalling and DNA methylation,3120.0
1065,PMCID: PMC3615658,Nature Publishing Group,Embo reports,Physiological release of endogenous tau is stimulated by neuronal activity,1852.505
1066,23632796,Nature Publishing Group,European journal of human genetics,"Whole exome sequencing, without prior linkage, identifies a mutation in LAMB3 as a cause of dominant hypoplastic amelogenesis imperfecta",2400.0
1067,1852.505,Nature Publishing Group,Genetics in medicine,Behavioral genetics and population health interventions for alcohol problems: at odds or oddly in agreement?,3000.0
1068,PMID: 23229735  PMC3734734,Nature Publishing Group,International journal of obesity,Catch-up growth following intra-uterine growth restriction programmes an insulin-resistant phenotype in adipose tissue,3000.0
1069,PMCID:PMC3778837,Nature Publishing Group,Journal of investigative dermatology,The IL23R A/Gln381 allele promotes IL-23 unresponsiveness in human memory T helper17 cells and impairs Th17 responses in psoriasis patients,2520.0
1070,PMID: 23743648,Nature Publishing Group,Journal of investigative dermatology,Heterozygous mutations in AAGAB cause type 1 punctate palmoplantar keratoderma with evidence for increased growth factor signalling,2520.0
1071,PMID: 23962810  Aug 2013 Epub ,Nature Publishing Group,Journal of investigative dermatology,Keratin 9 is Required for the Structural Integrity and Terminal Differentiation of Palmoplantar Epidermis,2520.0
1072,PMC3674403,Nature publishing group,Kidney international,"Albuminuria: too much testosterone, too few nephrons",2400.0
1073,PMCID: PMC3675710,Nature Publishing Group,Kidney international,Leukocyte and serum S100A8/S100A9 expression reflects disease activity in ANCA-associated vasculitis and glomerulophritis,2400.0
1074,PMID: 23302769 PMC3677138 ,Nature Publishing Group,Leukemia,Bivalent promoter marks and a latent enhancer may prime the leukaemia oncogene LMO1 for ectopic expression in T-cell leukaemia,3480.0
1075,PMC3806405 ,Nature Publishing Group,Mucosal immunology,?? T cells suppress inflammation and disease during rhinovirus-induced asthma exacerbations,3000.0
1076,PMC3535338,Nature Publishing Group,Nature communications,T-bet and GATA3 orchestrate Th1 and Th2 differentiation through lineage-specific targeting of distal regulatory elements.,1821.6
1077,PMCID: PMC3674234,Nature Publishing Group,Nature communications,Spatial segregation of polarity factors into distinct cortical clusters is required for cell polarity control,2562.0
1078,PMID: 24157919 PMC3826647,Nature Publishing Group,Nature communications,Bod1 regulates protein phosphatase 2A at mitotic kinetochores.,3498.0
1079,PMC3293425,Nature Publishing Group,Nature communications,Dynamics of anterior-posterior axis formation in the developing mouse embryo,3642.0
1080,PMCID: PMC3615473,Nature Publishing Group,Nature communications,Topoisomerase II? promotes activation of RNA polymerase I transcription by facilitating pre-initiation complex formation,3642.0
1081,PMCID:PMC3709497,Nature Publishing Group,Nature communications,Restricted perinatal retinal degeneration induces retina reshaping and correlated structural rearrangement of the retinotopic map,3642.0
1082,PMID: 23149744 PMC3514496 ,Nature Publishing Group,Nature communications,The Hedgehog signalling pathway regulates autophagy,3642.0
1083,PMC3621422,Nature Publishing Group,Nature communications,SynGAP isoforms exert opposing effects on synaptic strength.,3780.0
1084,PMC3778765,Nature Publishing Group,Nature communications,Control of synaptic vesicle endocytosis by an extracellular signalling molecule,3780.0
1085,PMCID: PMC3741640,Nature Publishing Group,Nature communications,Angiomotin prevents pluripotent lineage differentiation in mouse embryos via Hippo pathway dependent and independent mechanisms,3780.0
1086,"PMCID:
    PMC3604800
",Nature Publishing Group,Nature scientific reports,Using False Discovery Rates to Benchmark SNP-callers in next-generation sequencing projects,1068.0
1087,PMCID: PMC3746700,Nature Publishing Group,Neuropsychopharmacology,Prefontal hyperactivity associated with impaired inhibition in stimulant-dependant individuals but evidence for hyperactivation in their unaffected siblings,1500.0
1088,3656369,Nature Publishing Group,Neuropsychopharmacology,Lack of association between COMT and working memory in a population-based cohort of healthy young adults,3000.0
1089,3717539,Nature Publishing Group,Neuropsychopharmacology,A translational rodent assay of affective biases in depression and antidepressant therapy,3000.0
1090,PMC3682146,Nature Publishing Group,Neuropsychopharmacology,D-amphetamine and antipsychotic drug effects on latent inhibition in mice lacking dopamine D2 receptors,3000.0
1091,PMCID: PMC3629389,Nature Publishing Group,Neuropsychopharmacology,"Seratonin 2A receptors, citalopram and tryptophan - depletion: a multimodal imaging study of their interactions during response inhibition",3000.0
1092,PMID: 23686316,Nature Publishing Group,Oncogene,SATB1 collaborates with loss of p16 in cellular transformation,2774.45
1093,PMID: 23708655,Nature Publishing Group,Oncogene,Hox-mediated lmo2 expression in embryonic mesoderm is recapitulated in acute leukaemias,3360.0
1094,PMID:23975431,Nature Publishing Group,Oncogene,"Signalling mediated by the NF-kB sub-units NF-kB1, NF-kB2 and C-Rel differentially regulate Helicobacter felis-induced gastric carcinogenesis in C57BL/6 mice",3360.0
1095,23230506 PMC3516806 ,Nature Publishing Group,Sci rep,Structure of a metal-independent bacterial glycosyltransferase that catalyzes the synthesis of histo-blood group A antigen.,1068.0
1096,PMC3557449,Nature Publishing Group,Scientific reports,A Weber-like law for perceptual learning,1068.0
1097,PMC3628164,Nature Publishing Group,Scientific reports-11-00861b,The distribution of haemoglobin C and its prevalence in newborns in Africa,1068.0
1098,"PMCID:
    PMC3492727",Nature Publishing Group,The embo journal,Endocytic tubules regulated by Rab GTPases 5 and 11 are used for envelopment of herpes simplex virus,1560.0
1099,PMID: 24076655 PMC3817463 ,Nature Publishing Group,The embo journal,TRIAD1 and HHARI bind to and are activated by distinct neddylated Cullin-RING ligase complexes,3120.0
1100,"PMC3631608


",Nature publishing group,The journal of investigative dermatology,T-Cell Reconstitution after Thymus Xenotransplantation Induces Hair Depigmentation and Loss,2520.0
1101,PMC3641407,Nature Publishing Group,Translational psychiatry,Advancing the defensive explanation for anxiety disorders: lorazepam effects on human defense are systematically modulated by personality and threat-type,2880.0
1102,PMCID:PMC3731785,Nature Publishing Group,Translational psychiatry,Reduced Subcortical Glutamate/Glutamine in Adults with Autism Spectrum Disorders: A [1H]MRS Study,2880.0
1103,"PMCID:
    PMC3610641",Nature Publishing Group ,Mucosal immunology,Endogenous IL-21 regulates pathogenic mucosal CD4 T-cell responses during enhanced RSV disease in mice,3000.0
1104,"PMCID:
    PMC3684776
",Nature Publishing Group ,Mucosal immunology,Impaired innate interferon induction in severe therapy resistant atopic,3000.0
1105,PMCID: 3674235,NATURE PUBLISHING GROUP LTD,Nature communications,THE PORE OF VOLTAGE-GATED POTASSIUM ION CHANNELS IS STRAINED WHEN CLOSED,2562.0
1106,3512392,NPG,Embo journal,Molecular basis for SNX-BAR-mediated assembly of distinct endosomal sorting tubules,3120.0
1107,PMC3736456 ,Open Access Reg Ltd,Journal of the international aids society,"Sexual risk after HIV diagnosis: a comparison of pre-ART individuals with CD4_500 cells/ml and ART-eligible individuals in a HIV treatment and care programme in rural KwaZulu-Natal, South Africa",1451.6
1108,PMC3503144,Optical Society of America,Optics express,Maximum precision closed-form solution for localizing diffraction-limited spots in noisy images,1375.33
1109,PMC3633361,OUP,Alcohol and alcoholism,Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems,2040.0
1110,PMC3639724,OUP,American journal epidemiology,Using a nonparametric multilevel latent Markov model to evaluate diagnostics for trachoma.,2040.0
1111,3813311,OUP,American journal of epidemiology,Prenatal exposures and anti-Müllerian hormone in female adolescents: the Avon Longitudinal Study of Parents and Children,2040.0
1112,PMC3132275,OUP,American journal of epidemiology,Association between urban life-years and cardiometabolic risk: the Indian migration study,2040.0
1113,PMC3286332 ,OUP,Brain,Clinico-pathological features in amyotrophic lateral sclerosis with expansions in C9ORF72,2040.0
1114,"PMC3673458

",OUP,Brain,A functional magnetic resonance imaging study mapping the episodic memory encoding network in temporal lobe epilepsy,2040.0
1115,"PMC3673465

",OUP,Brain,Memory reorganization following anterior temporal lobe resection: a longitudinal study,2040.0
1116,PMC3692041,OUP,Brain,Letter to the Editor Reply: Snesorineural hearing loss in OPA1-linked disorders,2040.0
1117,in press,OUP,Brain,The role of human ventral visual cortex in motion perception,2400.0
1118,"PMC3754462

",OUP,Brain,Nucleotide precursors prevent folic acid-resistant neural tube defects in the mouse,2400.0
1119,1852.505,OUP,Brain,"Atypical basic movement kinematics in autism spectrum conditions
",2400.0
1120,1852.505,OUP,Brain,"Epilepsy, hippocampal sclerosis and febrile seizures linked by common genetic variation around SCN1A",2400.0
1121,1852.505,OUP,Brain,Reading therapy strengthens top-down connectivity in patients with pure alexia,2400.0
1122,Pub July 2013,OUP,Briefings in bioinformatics,Transcription factor interplay in T helper cell differentiation,2100.0
1123,PMC3675899,OUP,British medical bulletin,Mitochondrial genetics,2100.0
1124,1852.505,OUP,Cerebral cortex,The pathways for intelligible speech: multivariate and univariate perspectives,1875.0
1125,Epub ahead of print - june 2013,OUP,Cerebral cortex,Direct evidence for attention-dependent influences of the frontal eye-fields on feature-responsive visual cortex,2250.0
1126,PMID:24047602,OUP,Cerebral cortex,The early fetal development of human neocortical gabaergic interneurons,2250.0
1127,1852.505,OUP,Cerebral cortex,Individual differences in laughter perception reveal roles for mentalising and sensorimotor systems in the evaluation of emotional authenticity,2550.0
1128,PMC3669524,OUP,Clinical infectious diseases,A review of self-testing for HIV: research and policy priorities in a new era of HIV prevention.,1700.0
1129,e-pub ,OUP,Clinical infectious diseases,Chickenpox and risk of stroke: a self-controlled case series analysis ,2625.6
1130,PMC3552526,OUP,Clinical infectious diseases online,Cardiac disease in adolescents with delayed diagnosis of vertically-acquired HIV infection.,2040.0
1131,Epub ahead of print - june 2013,OUP,European heart journal online,SCORE performance in Central and Eastern Europe and former Soviet Union: MONICA and HAPIEE results,2040.0
1132,PMC3584993,OUP,Health policy planning,"Willingness to pay for a rapid malaria diagnostic test and artemisinin-based combination therapy from private drug shops in Mukono District, Uganda.",1800.0
1133,PMC3596849,OUP,Human molecular genetics,Genome-wide association study identifies loci on 12q24 and 13q32 associated with Tetralogy of Fallot,2040.0
1134,PMC3842181,OUP,Human molecular genetics,Armet/Manf and Creld2 are components of a specialised ER stress response provoked by inappropriate,2100.0
1135,PMID:23814040,OUP,Human molecular genetics,Altered 2-thiouridylation impairs mitochondrial translation in reversible infantile repiratory chain deficiency,2100.0
1136,1852.505,OUP,Human molecular genetics,"Age-associated epigenetic drift: implications, and a case of epigenetic thrift?",2100.0
1137,1852.505,OUP,Human molecular genetics,"Folliculin interacts with p0071 (plakophilin-4) and deficiency is associated with disordered RhoA signalling, epithelial polarization and cytokinesis",2100.0
1138,PMC3510758,OUP,Human molecular genetics,Genome Wide Meta-analysis points to CTC1 and ZNF676 as genes regulating telomere homeostasis in humans,1852.505
1139,PMC3396314,OUP,Int j epidemiol,"Status of epidemiology in the WHO South-East Asia region: burden of disease, determinants of health and epidemiological research, workforce and training capacity.",1700.0
1140,1852.505,OUP,International joural of epidemiology,Estimating the coverage of mental health programmes: a systematic review,2400.0
1141,"PMC3780998
",OUP,International journal of epidemiology,Time series regression studies in environmental epidemiology.,2040.0
1142,1852.505,OUP,International journal of epidemiology,Cohort profile: Andhra Pradesh children and parents study.,2400.0
1143,PMID: 23788479 /PMCID: PMC3797641,OUP,Journal of antimicrobial chemotherapy,Flucytosine and cryptococcosis: time to urgently address the worldwide accessibility of a 50-year-old antifungal,2400.0
1144,PMID: 23493728 /PMCID: PMC3654748,OUP,Journal of infectious diseases,The Phenotype of the Cryptococcus-specific CD4 Memory T-cell Response is Associated with Disease Severity and Outcome in HIV-associated Cryptococcal Meningitis,2250.0
1145,In Process,OUP,Journal of infectious diseases,Viral suppression following switch to second-line antiretroviral therapy: associations with NRTI resistance and 'sub-therapeutic' drug concentrations prior to switch ,2625.6
1146,PMID:  23945372,OUP,Journal of infectious diseases,Cryptococcus neoformans ex vivo capsule size is associated with intracranial pressure and host immune response in HIV?associated cryptococcal meningitis,2625.6
1147,3352832,OUP,Journal of the national cancer institute,Association between genetic variants on chromosome 15q25 locus and objective measures of tobacco exposure,2040.0
1148,23595147 PMCID: PMC3675483 ,OUP,Nucleic acid research,Nucleocapsid protein structures from orthobunyaviruses reveal insight into ribonucleoprotein architecture and RNA polymerization ,1704.0
1149,PMID: 23771140 /PMCID: PMC3753647,OUP,Nucleic acid research,Impact of Target Site Distribution for Type I Restriction Enzymes on the Evolution of Methicillin Resistant Staphylococcus aureus (MRSA) Populations,2184.0
1150,3467080,OUP,Nucleic acid research,Protein kinase CK2 inactivates PRH/Hhex using multiple mechanisms to derepress VEGF signalling genes and promote cell survival,852.0
1151,3553950,OUP,Nucleic acid research,The Type ISP Restriction-Modification enzymes LlaBIII and LlaGI use a translocation-collision mechanism to cleave non-specific DNA distant from their recognition sites,852.0
1152,3553963,OUP,Nucleic acid research,DNA cleavage by Type ISP Restriction-Modification enzymes is initially targeted to the 3'-5' strand,852.0
1153,3592466,OUP,Nucleic acid research,Organization of the BcgI restriction-modification protein for the  transfer of one methyl group to DNA,852.0
1154,3592470,OUP,Nucleic acid research,Organization of the BcgI restriction-modification protein for the cleavage of eight phosphodiester bonds in DNA,852.0
1155,PMC3575838,OUP,Nucleic acid research,Unwinding of primer-templates by archaeal family - B DNA polymerases in response to template-strand uracil,852.0
1156,"PMC3627570





",OUP,Nucleic acid research,Resolving the polymorphism-in-probe problem is critical for correct interpretation of expression QTL studies,852.0
1157,PMC3627603,OUP,Nucleic acid research,Human SIRT1 regulates DNA-binding and stability of the Mcm10 DNA replication factor via deacetylation,852.0
1158,PMID:24038356,OUP,Nucleic acid research,The splicing landscape is globally reprogrammed during male meiosis,852.0
1159,1852.505,OUP,Public health ethics,Using social networking sites for communicable disease control: innovative contact tracing or breach of confidentiality?,1800.0
1160,3281495,OUP,Rheumatology,Dynamic regulation of glucocorticoid signalling in health and disease,2040.0
1161,3651613,OUP,Rheumatology,High bone mass is associated with an increased prevalence of joint replacement: a case-control study,2040.0
1162,PMC3494044,OUP,Schizophrenia bulletin,Alterations in white matter evident before the onset of psychosis,2047.5
1163,1852.505,OUP,Social cognitive and affective neuroscience,Social brains on drugs: tools for neuromodulation in social neuroscience,1800.0
1164,Epub ahead of print - April 2013,OUP,Social cognitive and affective neuroscience,Neural correlates of the 'good life': eudaimonic well-being is associated with insular cortex volume,2040.0
1165,PMC3525058,Oxford Journals,Brain,Abnormal thalamocortical structural and functional connectivity in juvenile myoclonic epilepsy,2040.0
1166,23892734,Oxford Journals,Cardiovascular research,T brucei cathepsinL increases arrhythmogenic sarcoplasmic reticulum - mediated calcium release in rat cardiomyocytes,2040.0
1167,"PMCID:
    PMC3540040",Oxford Journals,Clinical infectious diseases,"Frequency, severity and prediction of tuberculous meningitis immune reconstitution inflammatory syndrome",1700.0
1168,PMC3616517,Oxford Journals,Clinicla infectious disease,Association of Human Leukocyte Antigen Alleles and Nevirapine Hypersensitivity in a Malawian HIV-infected population,2040.0
1169,1852.505,Oxford Journals,Glycobiology,A novel role for Gtb1p in glucose trimming of N-linked glycans,440.66
1170,PMC3177649,Oxford Journals,Human molecular genetics,Allelic heterogeneity and more detailed analyses of known loci explain additional phenotypic variation and reveal complex patterns of association,2040.0
1171,PMC3596848,Oxford Journals,Human molecular genetics,A genome-wide association study of early menopause and the combined impact of identified,2040.0
1172,3749866,Oxford Journals,Human molecular genetics,Genome-Wide Association Study of Primary Tooth Eruption Identifies Pleiotropic Loci Associated With Height and Craniofacial Distances,2100.0
1173,3733698,Oxford Journals,Inyernational journal of epidemiology,Inequalities in the uptake of human papillomavirus vaccination: a systematic review and meta-analysis,2040.0
1174,"PMCID:
    PMC3594497
",Oxford Journals,Journal of antimicrobial chemotherapy,An analysis of the development and implementation of a Smartphone Application for the delivery of Antimicrobial Prescribing Policy: Lessons Learnt,2040.0
1175,PMC3403862,Oxford Journals,Journal of gerontology series a: medical sciences,The association of dementia with upper arm and waist circumference in seven low and middle-income countries: the 10/66 cross-sectional surveys,2040.0
1176,23620542,Oxford Journals,Journal of public health,Examining inequalities in the uptake of the school-based HPV vaccination programme in England: a retrospective cohort study,1800.0
1177,22735079,Oxford Journals,Molecular biology and evolution,The impact of mutation and gene conversion on the local diversification of antigen genes in African trypanosomes,920.0
1178,3819976,Oxford Journals,Nicotine and tobaco research,Association of Maternal Smoking with Child Cotinine Levels,2625.6
1179,PMC3635503,Oxford Journals,Social history of medicine,Refuse and the Risk Society: The Political Ecology of Risk in Inter-war Britain,2040.0
1180,1852.505,Oxford Journals,Social history of medicine,A Modern History of the Stomach,2040.0
1181,PMC3406756,Oxford Journals (OUP),Human molecular genetics,"Vitmain D Receptor Binding, Chromatin States and Association with Multiple Sclerosis",1700.0
1182,PMC3413389,Oxford Univ Press,Bioinformatics online,ChromoHub: a data hub for navigators of chromatin-mediated signalling.,850.0
1183,PMID22345357 PMC3539454,Oxford Univ Press,Cerebral cortex print,Image-invariant responses in face-selective regions do not explain the perceptual advantage for familiar face recognition.,3177.6
1184,PMID23396536 PMC3652415,Oxford Univ Press,Human mol genetics online,"Dopaminergic expression of the Parkinsonian gene LRRK2-G2019S leads to non-autonomous visual neurodegeneration, accelerated by increased neural demands for energy",2040.0
1185,"PMID22301630, PMCID3274377",Oxford Univ Press,Journal of infectious diseases,Therapeutic vaccination with recombinant adenovirus reduces splenic parasite burden in experimental visceral leishmaniasis,2040.0
1186,PMID: 23672932 PMC3684112 ,Oxford University Press,Age and ageing,Early diagnosis and treatment of HIV infection: magnitude of benefit is greatest in older adults,2040.0
1187,PMCID: PMC3783091,Oxford University Press,American journal of epidemiology,Efficient design for Mendelian randomization studies: subsample and two-sample instrumental variable estimators,1700.0
1188,23162054,Oxford University Press,Biinformatics,mzMatch-ISO: an R tool for the annotation and relative quantification of isotope-labelled mass spectrometry data,1047.0
1189,PMC3546795,Oxford University Press,Bioinformatics,A Beta-Mixture Quantile Normalisation method for correcting probe design bias in Illumina Infinium 450k DNA methylation data,1700.0
1190,"PMC3570213
",Oxford University Press,Bioinformatics,"The product of C9orf72, a gene strongly implicated in neurodegeneration, is structurally related to DENN Rab-GEFs",1700.0
1191,PMCID: PMC3476336,Oxford University Press,Bioinformatics,A robust model for read count data in exome sequencing experiments and implications for copy number variant calling,2040.0
1192,PMID: 23658422 PMC3694669,Oxford University Press,Bioinformatics,FYPO: the fission yeast phenotype ontology,2100.0
1193,PMC3546802,Oxford University Press,Bioinformatics online,Scaffolding low quality genomes using orthologous protein sequences,1700.0
1194,PMC3496338,Oxford University Press,Bioinformatics online,GREVE: Genomic Recurrent Event ViEwer to assist the identification of patterns across individual cancer samples.,850.0
1195,PMC 3692042,Oxford University Press,Brain,A Journal of Neurology,2000.0
1196,PMC3159156,Oxford University Press,Brain,"The primary visual cortex, and feedback to it, are not necessary for conscious vision",2040.0
1197,"PMC3634199

",Oxford University Press,Brain,MRI evidence for presymptomatic change in thalamus and caudate in familial Alzheimer's disease,2040.0
1198,PMCID: PMC3501977,Oxford University Press,Brain,"Autologous olfactory mucosal cell transplants in clinical spinal cord injury: a randomized, double-blinded trial in a canine translational model",2040.0
1199,PMCID: PMC3580272,Oxford University Press,Brain online,The functional neuroimaging correlates of psychogenic versus organic dystonia,1700.0
1200,PMID: 23250878 PMC3525062,Oxford University Press,Brain online,The Charcot-Marie-Tooth diseases: how can we identify and develop novel therapeutic targets?,1700.0
1201,PMCID: PMC3170535,Oxford University Press,Brain online,Magnetoencephalography of frontotemporal dementia: spationtemprally localized changes during semantic decisions,2040.0
1202,PMCID: PMC3381722,Oxford University Press,Brain online,Social cognitive deficits and their neural correlates in progressive supranuclear palsy,2040.0
1203,1852.505,Oxford University Press,Briefings in functional genomics,Regulatory RNAs in the light of Drosophila genomics,2040.0
1204,PMCID: PMC3662891,Oxford University Press,Briefings in functional genomics,Epigenetic memory in the context of nuclear reprogramming and cancer,2100.0
1205,23137768,Oxford University Press,British medical journal,Management of trypanosomiasis and leishmaniasis,2040.0
1206,PMC3377963,Oxford University Press,Cerebral cortex,Transgenic Overexpression of the Type I Isoform of Neuregulin 1 Affects Working Memory and Hippocampal Oscillations but not Long-term Potentiation,1700.0
1207,"Epub ahead of print pub Nov 2012, print in press",Oxford University Press,Cerebral cortex,MEG evidence for early feedback effects during word recognition,2040.0
1208,"Epub ahead of print pub Jan 2013, print in press",Oxford University Press,Cerebral cortex,Pharmacological dissociation of novelty responses in the human brain,1852.505
1209,Epub ahead of print March 2013 - print in press,Oxford University Press,Cerebral cortex online,Inter- and Intra-hemispheric connectivity differences when reading Japanese Kanji and Hiragana,2040.0
1210,"Epub ahead of print pub Jan 2013, print in press",Oxford University Press,Cerebral cortex online,"Spatial attention, precision and Bayesian inference: a study of saccadic response speed",2040.0
1211,PMCID: PMC3673173,Oxford University Press,Cerebral cortex online,Preservation and choice in Parkinson's disease: the impact of progressive frontostriatal dysfunctoin on action decisions,2040.0
1212,23884064,Oxford University Press,Clinical infectious diseases,"Combination interventions to prevent HCV transmission among people who inject drugs: modeling the impact of antiviral treatment, needle and syringe programs, and opiate substitution therapy",2625.6
1213,PMID: 23935057,Oxford University Press,Database,"metabolicMine: an integrated genomics, genetics and proteomics data warehouse for common metabolic disease research",960.0
1214,PMID: 23172732 PMC3784797 ,Oxford University Press,European journal of public health,Family and home influences on children's after-school and weekend physical activity,1800.0
1215,"PMCID:
    PMC3671775",Oxford University Press,Glycobiology,Organization of the extracellular portion of the macrophage galactose receptor: a trimeric cluster of simple binding sites for N-acetylgalactosamine,1700.0
1216,1852.505,Oxford University Press,Health promotion international,In what ways do communities support optimal antiretroviral treatment in Zimbabwe?,1700.0
1217,PMCID: PMC3415954,Oxford University Press,History workshop journal,A marble embryo: meanings of a portrait from 1900,2100.0
1218,"PMC3613160

",Oxford University Press,Human molecular genetics,Protein profiles in Tc1 mice implicate novel pathway perturbations in the Down syndrome brain,1978.75
1219,PMC3263993,Oxford University Press,Human molecular genetics,Next generatin sequencing identifies mutations in Atonal homolog 7 (ATOH7) in families with global eye developmental defects.,2040.0
1220,PMC3313792,Oxford University Press,Human molecular genetics,Impaired neural development in a zebrafish model for Lowe syndrome,2040.0
1221,PMC3441120,Oxford University Press,Human molecular genetics,G2019S leucine-rich repeat kinase 2 causes uncoupling protein-mediated mitochondrial depolarization,2040.0
1222,"PMC3583518
",Oxford University Press,Human molecular genetics,Mitofusin 1 and mitofusin 2 are ubiquitinated in a PINK1/parkin-dependent manner upon induction of mitophagy,2040.0
1223,PMID: 23804751,Oxford University Press,Human molecular genetics,IGF-1 receptor antagonism inhibits autophagy,2100.0
1224,PMID: 23933736 PMC3842180 ,Oxford University Press,Human molecular genetics,Myc inhibition impairs autophagosome formation,2100.0
1225,PMC3690967,Oxford University Press,Human molecular genetics online,DNA polymerase {varepsilon} and o exonuclease domain mutations in endometrial cancer.,1700.0
1226,PMCID: PMC3600839,Oxford University Press,Human reproduction,The incidence and clinical significance of defects in calcium signalling pathways mediating human sperm hyperactivation in donors and sub fertile patients.,2040.0
1227,PMID:23606632 PMC3631001 ,Oxford University Press,International immunology,The Dectin-2 family of C-type lectin-like receptors: and update,2040.0
1228,PMC3535749,Oxford University Press,International journal of epidemiology,Data Resource Profile: Cardiovascular disease research using Linked Bespoke studies and Electronic health Records (CALIBER),2040.0
1229,PMCID: PMC3780999,Oxford University Press,International journal of epidemiology,Use of allele scores as instrumental variables for Mendelian randomization,2400.0
1230,PMID: 23771720,Oxford University Press,International journal of epidemiology,Cohort Profile: - A prospective cohort study of objective physical and cognitive capability and visual health in an ageing population of men and women in Norfolk (EPIC-Norfolk 3),2400.0
1231,PMID:24048963 (Epub Sept 2013),Oxford University Press,Journal of infectious diseases," 
 

Persistent endothelial activation after Plasmodium falciparum infection in Malawian children.



",2841.6
1232,PMCID: PMC3749005,Oxford University Press,Journal of infectious diseases,T-cell immunophenotyping distinguishes active from latent tuberculosis,2625.6
1233,PMC3536641 ,Oxford University Press,Journal of the national cancer institute,Effect of SMURF2 Targeting on Susceptibility to MEK Inhibitors in Melanoma,2040.0
1234,PMC3818966,Oxford University Press,Medical law review,Nudging for health: On Public Policy & Designing Choice Architecture,2100.0
1235,22735079,Oxford University Press,Mol biol and evolution,The impact of point mutation and gene conversion on the local diversification of antigen genes in African Trypanosomes,2040.0
1236,PMID: 23328711 PMC3685308 ,Oxford University Press,Nephrology dialysis and transplantation,Unexpected clinical sequelae of Gitelman syndrome: hypertension in adulthood is common and females have higher potassium requirements,2040.0
